vacancy_name,min_salary,max_salary,currency,company_name,company_city,vacancy_link,website
Data-Scientist,,,,Weborama Russia,Москва,https://chelyabinsk.hh.ru/vacancy/83293320?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Lead AI Data Scientist,,8000,$,Compound Solutions SL,Алматы,https://chelyabinsk.hh.ru/vacancy/83296188?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Remote AI Data Scientist,1700,7000,€,Rearden Media Ltd.,Москва,https://chelyabinsk.hh.ru/vacancy/82280658?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist / Python разработчик,,,,ЗАЗЕКС,Ростов-на-Дону,https://chelyabinsk.hh.ru/vacancy/78771412?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Remote AI Data Scientist,1700,7000,€,Rearden Media Ltd.,Алматы,https://chelyabinsk.hh.ru/vacancy/82280686?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Lead Data Scientist в R&D-команду логистики Маркета,400000,650000,₽,Яндекс,Москва,https://chelyabinsk.hh.ru/vacancy/83441997?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist/Аналитик данных,120000,190000,₽,ГК СиДиСи (CDC),Москва,https://chelyabinsk.hh.ru/vacancy/81456987?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist (Junior),,,,Газпромбанк,Москва,https://chelyabinsk.hh.ru/vacancy/83451191?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist middle+/Senior,250000,380000,₽,ИП Мамаева Ирина Анатольевна,Москва,https://chelyabinsk.hh.ru/vacancy/82750408?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Lead Data Scientist в R&D-команду логистики Маркета,400000,650000,₽,Яндекс,Санкт-Петербург,https://chelyabinsk.hh.ru/vacancy/83442000?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist,,320000,₽,Spice Agency,Москва,https://chelyabinsk.hh.ru/vacancy/83435724?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Lead Data Scientist в R&D-команду логистики Маркета,400000,650000,₽,Яндекс,Алматы,https://chelyabinsk.hh.ru/vacancy/83442004?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data scientist (Антифрод),,,,Домклик,Москва,https://chelyabinsk.hh.ru/vacancy/81771371?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist,60000,,₽,Дейта Инсайт,Армения,https://chelyabinsk.hh.ru/vacancy/83217470?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Analyst/Data Scientist,,,,"билайн: ИТ, Data, Digital",Москва,https://chelyabinsk.hh.ru/vacancy/83284986?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Remote AI Data Scientist,,7000,€,Rearden Media Ltd.,Армения,https://chelyabinsk.hh.ru/vacancy/82283439?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
ML / NLP Engineer (Data Scientist),,,,ООО СиЭйИ Текнолоджи / CAE Technology,Минск,https://chelyabinsk.hh.ru/vacancy/83353655?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist / ML Engineer (Middle+),180000,260000,₽,DIGINETICA,Санкт-Петербург,https://chelyabinsk.hh.ru/vacancy/81489621?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist / ML Engineer (Middle+),180000,260000,₽,DIGINETICA,Екатеринбург,https://chelyabinsk.hh.ru/vacancy/81489623?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data scientist,,,,Сбер. Data Science,Южно-Сахалинск,https://chelyabinsk.hh.ru/vacancy/83440171?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data scientist (Оптимизация логистики),,,,Сбер для экспертов,Москва,https://chelyabinsk.hh.ru/vacancy/83453439?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist,,,,Сбер. IT,Москва,https://chelyabinsk.hh.ru/vacancy/83436498?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
"Data Scientist, Ранжирование поиска",,,,Ozon Информационные технологии,"Москва, Деловой центр и еще 2 ",https://chelyabinsk.hh.ru/vacancy/67411146?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist,,,,ООО ГПМ Партнер,Москва,https://chelyabinsk.hh.ru/vacancy/83286591?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Analyst (Data Scientist),,,,Белитсофт интернешнл,"Минск, Тракторный завод",https://chelyabinsk.hh.ru/vacancy/83220968?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist,,,,ПИК,Москва,https://chelyabinsk.hh.ru/vacancy/81868570?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist NLP,,,,Сбер. IT,Москва,https://chelyabinsk.hh.ru/vacancy/83351440?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Lead Data Scientist,,470000,₽,Rubbles,Москва,https://chelyabinsk.hh.ru/vacancy/81856616?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist Управления модельных рисков и валидации,,,,"ПАО ВТБ, Технологический блок",Москва,https://chelyabinsk.hh.ru/vacancy/83360750?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Senior Data Scientist,,,,ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL),Алматы,https://chelyabinsk.hh.ru/vacancy/83254957?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist (NLP),,,,Сбер. IT,Москва,https://chelyabinsk.hh.ru/vacancy/79927092?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Middle Data scientist (Промо Прогноз),,,,"МАГНИТ, Розничная сеть",Краснодар,https://chelyabinsk.hh.ru/vacancy/78128781?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist,,,,Лига Цифровой Экономики,"Москва, Савёловская и еще 2 ",https://chelyabinsk.hh.ru/vacancy/83274323?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist в SberData,,,,Сбер для экспертов,Москва,https://chelyabinsk.hh.ru/vacancy/83448921?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data scientist,,,,"билайн: ИТ, Data, Digital",Москва,https://chelyabinsk.hh.ru/vacancy/83209990?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist,,,,"билайн: ИТ, Data, Digital",Москва,https://chelyabinsk.hh.ru/vacancy/82540302?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist CVM,,,,АО Банк ЦентрКредит,Алматы,https://chelyabinsk.hh.ru/vacancy/81878002?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data scientist NLP (middle),,,,ПАО Ростелеком,Москва,https://chelyabinsk.hh.ru/vacancy/83238281?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
